Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.8617886178861789,0.84,0.9882352941176471,0.9081081081081082,0.8479876160990714
Random Forest,0.8130081300813008,0.8369565217391305,0.9058823529411765,0.8700564971751412,0.8012383900928793
XGBoost,0.8130081300813008,0.8444444444444444,0.8941176470588236,0.8685714285714285,0.7767801857585139
Decision Tree,0.8292682926829268,0.8333333333333334,0.9411764705882353,0.8839779005524862,0.7509287925696595
